80. Sorolja fel a Ringer-oldat nélkülözhetetlen összetevőit; Adja meg a Ringer-oldat ozmolaritását! ,  Összetevők: NaCl; KCl– CaCl2; NaHCO3 ; Ringer-oldat ozmolaritása: kb. 300 mOsm/L
81. Írjon fel egy olyan reakcióegyenletet képletekkel  amelyben a szén-dioxid savanhidridként viselkedik! ,  CO2 + H2O ⇌ H2CO3
82. Írja le egy mondatban a lantanoidák orvosi gyakorlatban játszott szerepének elektronszerkezeti magyarázatát! , A lantanoidák orvosi gyakorlatban játszott szerepe az elektronhéjszerkezetükből adódik  mivel a 4f elektronok részleges kitöltöttsége és a nagyobb atomtömegük miatt speciális mágneses és kémiai tulajdonságokkal rendelkeznek  amelyek lehetővé teszik alkalmazásukat kontrasztanyagként az orvosi képalkotásban és egyes gyógyszerekben.
83. Rajzoljon két szerves molekulát szerkezeti képlettel  amelyek egymásnak konstitúciós izomerei; A különbséget szövegesen is indokolja! ,   Molekula 1: C2H5OH (etanol) ; Molekula 2: CH3OCH3 (dimetil-éter) ; Különbség: Az etanol egy alkohol amelyben a hidroxilcsoport (-OH) egy szénatomhoz kapcsolódik  míg a dimetil-éter egy éter amelyben az oxigénatom két metilcsoporthoz kapcsolódik. Ez a különbség a molekulák funkciós csoportjában és szerkezetében rejlik.
84. Rajzoljon két szerves molekulát projektív képlettel  amelyek egymásnak konfigurációs izomerei; A különbséget szövegesen is indokolja! ,   Molekula 1: (R)-2-butanol ; Molekula 2: (S)-2-butanol ; Különbség: A két molekula konfigurációs izomerek mert ugyanaz a molekulaképletük és kötésrendjük van  de a térbeli elrendeződésük különbözik a kiralitásuk miatt. Az (R) és (S) jelölések a kiralitásukra utalnak  amelyek meghatározzák a molekulák optikai aktivitását.
85. Rajzoljon két szerves molekulát Newman-projekcióval (vagy fűrészbak-ábrázolással)  amelyek egymásnak konformációs izomerei; A különbséget szövegesen is indokolja! ,  Molekula 1: etán (fedő konformáció) ; Molekula 2: etán (nyitott konformáció) ; Különbség: A két molekula konformációs izomerek mert ugyanaz a molekulaképletük és kötésrendjük van  de a térbeli elrendeződésük különbözik a C-C kötés körüli forgás miatt. A fedő konformációban a hidrogénatomok közelebb vannak egymáshoz  míg a nyitott konformációban távolabb helyezkednek el.
86. Rajzoljon két szerves molekulát projektív képlettel  amelyek egymásnak enantiomerei; A különbséget szövegesen is indokolja! ,   Molekula 1: (R)-laktát ; Molekula 2: (S)-laktát ; Különbség: A két molekula enantiomerek mert tükörképei egymásnak és nem szuperponálhatók. Ugyanaz a molekulaképletük és kötésrendjük van  de a térbeli elrendeződésük különbözik a kiralitásuk miatt. Az (R) és (S) jelölések a kiralitásukra utalnak  amelyek meghatározzák a molekulák optikai aktivitását.
87. Definiálja a relatív konfiguráció fogalmát! ,  A relatív konfiguráció azt jelenti  hogy két vagy több királis központú molekula térbeli elrendeződését egymáshoz viszonyítva határozzuk meg  anélkül  hogy a molekulák abszolút konfigurációját (R vagy S) ismernénk. A relatív konfigurációt általában a molekulák közötti viszony alapján határozzuk meg
88. Rajzolja le a D-tejsav és az L-tejsav szerkezeti képletét a Fischer-projekció használatával! ,  
89. Definiálja a diasztereomerek fogalmát; Adjon rá példát projektív képletekkel! ,  Diasztereomerek olyan sztereoizomerek amelyek nem tükörképei egymásnak és nem szuperponálhatók. Példa: 2;3-dibrombután két diasztereomerje:
90. Rajzolja fel a mezo-borkősav molekula projektív képletét; Adja meg a molekula optikai aktivitásának mértékét  és az értéket szövegesen indokolja! ,   Mezo-borkősav:  Optikai aktivitás: inaktív (optikailag inaktív) ; Indoklás: A mezo-borkősav belső síkkal rendelkezik  amely miatt a molekula tükörképe megegyezik önmagával  így nem mutat optikai aktivitást. , 
91.Rajzoljon le egy fedő és egy nyitott állású etánmolekulát; Jelölje  hogy melyik az energetikailag kedvezőbb állapot! ,   Fedő állású etán:  Energetikailag kedvezőbb állapot: nyitott állású etán (alacsonyabb energiájú) ,
92. Rajzolja le és nevezze meg a ciklohexán két szélsőséges konformációs izomerjét! ,   Konformáció 1: szék konformáció
93. Rajzolja le és nevezze meg az 1 2-dimetil-ciklopentán cisz és transz izomerjét! ,  Cisz-1;2-dimetil-ciklopentán:
94. Rajzolja le és nevezze meg a 2-butén két izomerjét! ,  Cis-2-butén:  Transz-2-butén:    
95. Írja fel az etén vízaddíciójának reakcióegyenletét szerkezeti képletekkel! ,  CH2=CH2 + H2O → CH3-CH2OH ,
96. Írja fel az izoprén szerkezeti képletét; Nevezze meg a molekulát szisztematikus névvel! ,  C5H8; izoprén; 2-metil-1;3-butadién ,
97. Írja fel az acetilén vízaddíciójának reakcióegyenletét szerkezeti képletekkel! ,  HC≡CH + H2O → CH2=CHOH (etén-1-ol) → CH3-CHO (acetaldehid) ,
98. Rajzolja fel a benzol szerkezeti képletét úgy  hogy a képlet tükrözze a molekula valós elektroneloszlását; Adja meg a molekulában a C-C-C kötésszögek értékét! ,  A benzol szerkezeti képlete:  C6H6 ; A molekulában a C-C-C kötésszögek értéke: 120° ,
99. Rajzolja fel szerkezeti képletekkel egy primer alkohol oxidációjának reakcióegyenletét (Milyen vegyületcsaládba tartozik a termék?)! ,  R-CH2OH + [O] → R-CHO + H2O ; a termék aldehid vegyületcsaládba tartozik ,
100. Rajzolja fel szerkezeti képletekkel egy szekunder alkohol oxidációjának reakcióegyenletét (Milyen vegyületcsaládba tartozik a termék?)! ,  R1-CHOH-R2 + [O] → R1-CO-R2 + H2O ; a termék keton vegyületcsaládba tartozik ,  
101. Rajzolja fel szerkezeti képletekkel az etántiol (etil-merkaptán) enyhe oxidációjának reakcióegyenletét (Milyen vegyületcsaládba tartozik a termék?)! ,   2 CH3-CH2-SH + [O] → CH3-CH2-S-S-CH2-CH3 + H2O ; a termék diszulfid vegyületcsaládba tartozik , 
102. Rajzolja le a karbonilcsoportot és jelölje a valós elektroneloszlást! ,  A karbonilcsoportban a C=O kötés polarizált: a C részlegesen pozitív töltésű  az O részlegesen negatív töltésű ,  
103. Rajzolja fel szerkezeti képletekkel az aldehidek alkoholaddíciójának reakcióegyenletét (Milyen vegyületcsaládba tartozik a termék?)! ,   R-CHO + R'-OH → R-CH(OH)-OR' ; a termék hemiacetal vegyületcsaládba tartozik ,  
104. Rajzolja fel szerkezeti képletekkel az acetálképződés általános reakcióegyenletét! ,  R-CH(OH)-OR' + R'-OH → R-CH(OR')2 + H2O ,
105. Rajzolja fel szerkezeti képletekkel egy Schiff-bázis képződésének reakcióegyenletét! , R-CHO + R'-NH2 → R-CH=N-R' + H2O ,
106. Sorolja fel a Fehling-próbához szükséges vegyszereket (Sikeres Fehling-próba esetén mi reagál mivel?)! , Fehling I oldat: réz(II)-szulfát; Fehling II oldat: nátrium-hidroxid és nátrium-kálium-tartarát; sikeres Fehling-próba esetén az aldehid redukálja a Cu²⁺ ionokat Cu₂O csapadékká ,
107. Rajzolja fel szerkezeti képletekkel az aldehidek oxidációjának reakcióegyenletét (Milyen vegyületcsaládba tartozik a termék?)! ,   R-CHO + [O] → R-COOH ; a termék karbonsav vegyületcsaládba tartozik ,
108. Rajzolja fel szerkezeti képletekkel az aldehidek redukciójának reakcióegyenletét (Milyen vegyületcsaládba tartozik a termék?)! ,   R-CHO + 2[H] → R-CH2OH ; a termék primer alkohol vegyületcsaládba tartozik ,
109. Rajzolja fel szerkezeti képletekkel a ketonok redukciójának reakcióegyenletét (Milyen vegyületcsaládba tartozik a termék?)! ,  R1-CO-R2 + 2[H] → R1-CHOH-R2 ; a termék szekunder alkohol vegyületcsaládba tartozik ,
110. Rajzolja fel egy keto-enol tautomer pár tagjait szerkezeti képletekkel! ,  Keto forma:  R-CO-R' ; Enol forma:  R-C(OH)=R' ,
111. Rajzolja fel szerkezeti képletekkel egy aldol-addíció (aldol-dimerizáció) reakcióegyenletét! ,  2 R-CHO → R-CH(OH)-CH2-CHO ,
112. Rajzolja le a karboxilcsoportot és a karboxilát-csoportot úgy  hogy az ábra tükrözze a csoportokon belül a valós elektroneloszlást! ,   Karbonsav (karboxilcsoport):  R-COOH ; Karboxilát (karboxilát-csoport):  R-COO⁻ ; A karboxilcsoportban a C=O kötés polarizált: a C részlegesen pozitív töltésű  az O részlegesen negatív töltésű. A karboxilát-csoportban mindkét O atom részlegesen negatív töltésű  mivel a negatív töltés delokalizált a két oxigén között. ,
113. Mutassa be egy példán keresztül  hogy a negatív induktív effektus hogyan befolyásolja a karbonsavak savi erősségét! ,  HClC-COOH (klór-ecetsav) erősebb sav mint CH3-COOH (ecetsav) mert a Cl atom negatív induktív effektusa révén csökkenti a karboxilát anion elektron sűrűségét  ezáltal stabilizálja az aniont és növeli a savi erősséget. ,  
114. Rajzolja fel szerkezeti képletekkel  hogy két karbonsavmolekula között hol alakulnak ki hidrogénkötések! ,  két karbonsavmolekula között a karboxilcsoportok között alakulnak ki hidrogénkötések: az egyik molekula -OH csoportjának H atomja a másik molekula C=O csoportjának O atomjához kapcsolódik ,  
115. Rajzolja fel szerkezeti képletekkel a monokarbonsavak dekarboxileződésének reakcióegyenletét! ,  R-COOH → R-H + CO2 ,  
116. Rajzolja fel szerkezeti képletekkel a karbonsav-észterek képződésének reakcióegyenletét! , R-COOH + R'-OH ⇌ R-COOR' + H2O ,
117. Rajzolja fel a piroszőlősav keto- és enol tautomerjeit szerkezeti képletekkel! , Keto forma:  CH3-CO-COOH ; Enol forma:  CH2=C(OH)-COOH ,
118. Rajzolja fel szerkezeti képletekkel egy lakton képződésének reakcióegyenletét! ,  HO-CH2-CH2-COOH →  (Ciklusos szerkezet) + H2O ,
119. Adja meg a ketontestek nevét és szerkezeti képletét! ,  Aceton: CH3-CO-CH3 ; Acetoacetát: CH3-CO-CH2-COO⁻ ; β-hidroxibutirát: CH3-CHOH-CH2-COO⁻ ,
120. Rajzoljon fel szerkezeti képletekkel egy olyan reakcióegyenletet  amelyben egy amin acilezése zajlik le! , R-COCl + R'-NH2 → R-CONH-R' + HCl ,
121. Rajzolja fel szerkezeti képletekkel egy laktám képződésének reakcióegyenletét! ,  HO-CH2-CH2-CH2-NH2 + R-COOH → (Ciklusos szerkezet) + H2O ,
122. Rajzoljon fel szerkezeti képletekkel egy vegyes anhidridet  egy tioésztert és egy enol-észtert! ,  Vegyes anhidridet:  R-CO-O-CO-R' ; Tioésztert:  R-CO-S-R' ; Enol-észtert:  R-C(OR')=CH2 ,
123. Rajzoljon fel szerkezeti képletekkel egy olyan reakcióegyenletet  amelyben egy primer amin reagál egy karbonilvegyülettel! ,   R-CHO + R'-NH2 → R-CH=N-R' + H2O ,
124. Rajzolja fel a szappanok általános szerkezeti képletét és írja le röviden detergens hatásuk molekuláris szintű hátterét! ,  Szappanok általános szerkezeti képlete:  R-COO⁻ Na⁺ ; detergens hatásuk molekuláris szintű háttere: a szappanmolekulák amfipatikus tulajdonságúak: hidrofil karboxilát fejükkel a vízben oldódnak  míg a hidrofób hosszú alkilláncú farokrészük a zsírokban és olajokban oldódik. Ez lehetővé teszi  hogy a szappanok emulgeálják a zsírokat és olajokat  így azok eltávolíthatók legyenek vízzel való öblítéssel. ,
125. Adja meg a kolloid állapot legalább három jellemzőjét! , - részecskék mérete 1-1000 nm között van - a kolloid részecskék nem ülepednek ki - a kolloid részecskék szórják a fényt (Tyndall-jelenség) - a kolloid részecskék felülete töltött lehet  ami stabilizálja a kolloid rendszert - a kolloid részecskék felületén adszorpció játszódhat le  ami befolyásolhatja a kolloid rendszer tulajdonságait.  